,stopTime_ES,mse_ES,stopTime_AIC,mse_AIC,mse_min,,,,,,,
1,40,0.8097,56,0.7328,0.7328,,,,,,,
2,32,0.9192,57,0.3009,0.2885,,,stopTime_ES,mse_ES,stopTime_AIC,mse_AIC,mse_min
3,43,3.0767,47,2.8450,2.2387,,Average,52.78,2.072510056,82.239,1.453253412,1.225831408
4,16,5.0225,60,2.6246,2.3964,,,,,,,
5,26,2.3968,153,1.4088,1.2119,,,,,,,
6,43,2.6550,123,2.0374,1.9574,,,,,,,
7,26,1.8680,109,1.0589,0.8628,,,,,,,
8,29,2.6057,60,2.0278,2.0278,,,,,,,
9,600,1.5729,31,2.3150,1.3602,,,,,,,
10,33,1.9802,127,0.8630,0.8078,,,,,,,
11,28,3.3148,75,1.3792,1.3368,,,,,,,
12,40,1.9351,89,1.6615,1.5383,,,,,,,
13,24,0.9220,125,0.5940,0.0643,,,,,,,
14,600,1.4697,44,2.2953,1.3548,,,,,,,
15,81,1.1713,49,1.1176,1.0671,,,,,,,
16,53,0.7110,61,0.7433,0.6713,,,,,,,
17,40,4.0944,40,4.0944,3.1779,,,,,,,
18,48,0.4032,58,0.1983,0.1519,,,,,,,
19,44,2.2054,61,1.8703,1.6476,,,,,,,
20,36,0.5752,83,1.6289,0.5404,,,,,,,
21,49,2.8846,121,2.7420,2.5567,,,,,,,
22,30,1.0516,132,1.2489,0.4991,,,,,,,
23,38,1.4637,104,0.5176,0.4497,,,,,,,
24,35,1.5126,35,1.5126,1.4590,,,,,,,
25,53,1.6198,107,1.6352,1.5341,,,,,,,
26,130,2.4235,62,2.6508,2.3576,,,,,,,
27,28,2.2568,125,2.6945,2.0630,,,,,,,
28,38,2.9672,51,2.4639,1.9852,,,,,,,
29,38,0.4847,56,0.4608,0.4043,,,,,,,
30,39,1.0597,73,1.4719,1.0597,,,,,,,
31,40,1.9619,85,1.3391,1.3391,,,,,,,
32,47,2.0047,77,1.9942,1.8977,,,,,,,
33,48,1.2362,97,2.0579,1.2187,,,,,,,
34,32,3.8120,59,2.4401,2.2829,,,,,,,
35,59,1.9319,59,1.9319,1.8183,,,,,,,
36,55,1.2509,91,1.0446,1.0098,,,,,,,
37,51,1.3246,55,1.4321,0.7837,,,,,,,
38,62,0.2426,78,0.1430,0.1430,,,,,,,
39,26,1.9626,59,0.4810,0.3520,,,,,,,
40,29,0.8038,54,0.0574,0.0498,,,,,,,
41,26,2.5965,62,1.4048,1.4048,,,,,,,
42,74,0.5760,48,0.6037,0.5693,,,,,,,
43,17,2.4856,71,1.3453,1.3371,,,,,,,
44,41,1.7779,77,1.2363,1.2171,,,,,,,
45,48,1.5984,74,1.1436,1.0530,,,,,,,
46,35,0.5392,71,0.7678,0.4461,,,,,,,
47,28,4.4730,47,2.8903,1.5698,,,,,,,
48,29,1.8599,57,0.9186,0.7668,,,,,,,
49,46,0.8319,56,0.7677,0.7653,,,,,,,
50,33,1.3375,72,0.6079,0.5828,,,,,,,
51,31,1.6019,77,0.5657,0.5325,,,,,,,
52,35,2.9263,111,2.5050,2.2257,,,,,,,
53,31,1.2668,66,0.7612,0.7210,,,,,,,
54,37,2.2731,115,2.0490,1.6790,,,,,,,
55,38,0.2309,81,1.0494,0.1863,,,,,,,
56,50,1.6244,59,1.3560,1.1151,,,,,,,
57,600,1.0677,30,0.6917,0.4512,,,,,,,
58,40,1.6256,125,1.4288,1.1960,,,,,,,
59,26,1.0403,84,1.2427,0.6267,,,,,,,
60,33,1.6116,77,0.6138,0.6125,,,,,,,
61,27,1.3585,63,1.5188,1.1621,,,,,,,
62,31,4.0258,160,1.4829,1.4608,,,,,,,
63,41,1.7590,74,1.6934,1.6023,,,,,,,
64,37,0.8138,72,0.4465,0.3829,,,,,,,
65,33,1.0932,52,1.4029,1.0784,,,,,,,
66,28,1.9019,64,0.3488,0.3029,,,,,,,
67,33,2.1097,39,1.8817,1.7522,,,,,,,
68,23,6.5954,73,3.1931,2.5205,,,,,,,
69,28,0.9928,70,0.4749,0.3783,,,,,,,
70,30,1.2066,82,0.1208,0.1128,,,,,,,
71,43,1.9780,68,1.3163,1.2031,,,,,,,
72,63,1.0556,63,1.0556,1.0556,,,,,,,
73,28,2.9580,239,1.2034,0.9132,,,,,,,
74,47,0.4494,74,0.3390,0.2895,,,,,,,
75,28,2.0297,112,1.1215,1.0738,,,,,,,
76,26,2.0471,61,0.6732,0.6364,,,,,,,
77,39,0.7840,129,0.8818,0.5169,,,,,,,
78,28,1.0541,81,1.6907,0.9713,,,,,,,
79,51,2.0058,91,2.6923,2.0058,,,,,,,
80,26,4.1097,109,1.6421,1.6198,,,,,,,
81,25,2.9151,81,1.0244,1.0073,,,,,,,
